Response ID,Country,Which team were you on? (Please enter your team name.),"Not counting this event, how many times have you previously participated in hackathons or similar events? - 1",Have you participated previously in international group projects?,What is your favorite programming language/stack? - Selected Choice,How well was this event organized?,How satisfied are you with this event?,Please rate the degree to which you agree with the following statements about your participation in the event: - I set goals for myself while problem-solving during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I took time to evaluate my progress toward those goals.,"Please rate the degree to which you agree with the following statements about your participation in the event: - I sought new information, resources, knowledge during the event.",Please rate the degree to which you agree with the following statements about your participation in the event: - I practiced new skills during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I am happy with my problem-solving processes during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I developed my intercultural communication skills during this event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I learned new information about a foreign country and culture through this event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I feel comfortable working in international and multicultural group projects after this event.,Please rate the importance of the following supports for problem-solving during this event: - Past knowledge and existing skills,Please rate the importance of the following supports for problem-solving during this event: - Event teammates,Please rate the importance of the following supports for problem-solving during this event: - Event experts,Please rate the importance of the following supports for problem-solving during this event: - Friends and colleagues not participating in the event,Please rate the importance of the following supports for problem-solving during this event: - Social media and web forums,"Please rate the importance of the following supports for problem-solving during this event: - Textbooks, guidebooks, manuals, etc.","Please rate the importance of the following supports for problem-solving during this event: - Generative AI tools (e.g., ChatGPT, Copilot, Gemini, Claude, etc.)",How helpful were the event experts?,Are you ready to move forward in your career?,"Please rate, with 1 being not at all prepared and 10 being completely prepared, the degree to which you feel ready to move forward in your career because of this event: - 1",Briefly describe your overall impressions of this event:,Briefly describe two or more new things you learned about your international partners through this binational event.,"Would you be interested in participating in a future international event like this (e.g., hackathon, design sprint)?"
R_1F8nm54zxU458vo,USA,Team 1 (Building Sorters),,Yes,Python,Good,Absolutely pleased. When will the next one be?,7,7,7,5,6,6,6,8,8,7,4,2,1,5,9,Useful,Yes,7,I enjoyed working with my teammates and meeting them. Overall it was a good experience.,I got to learn a bit more about universities in Ukraine.,Yes
R_2ieZs0AoFlyw6Qx,Ukraine,Team 1 (Building Sorters),0,Yes,Java,Perfectly,Absolutely pleased. When will the next one be?,10,10,10,10,10,10,10,10,10,10,7,4,10,10,8,Super helpful,Yes,6,I enjoyed working with such a beautiful people with different backgrounds on solving our common problems!,"I've learnt about geography and education systems in Florida, also learned something more about Nepal. ",Yes
R_1v8iK5msUhxuGJl,USA,Team 10: Building Damage Assessment System,,No,Python,Not bad,Satisfied,9,9,9,9,4,9,9,9,7,8,8,3,3,3,8,Useful,Yes,7,I liked the fact that I got to participate and the global impact my contribution here would have. Definitely could have done better if more time was given but I understand its a competetion and hope there is more event collaborations like this especially related to AI ,I loved interacting with new people and also i found out how its important to be able to interact with people with different backgrounds and nationality. Hopefully I made good friends here and hope make some more with future events,Yes
R_7P3MACQjJvzpLLH,USA,Team 10: Building Damage Assessment System,5,No,Python,Badly,Absolutely pleased. When will the next one be?,10,8,10,10,10,7,10,10,10,10,7,1,10,3,10,Useful,Yes,7,"It was very clear that this was the first time event. For a first time event it wasn't terrible, ",I feel like I got the privileged to learn more about how Ukranian people live in gereral. ,Yes
R_1ozAaKTi7ZZhwQh,USA,Team 10: Building Damage Assessment System,0,No,,Badly,Dissatisfied,6,5,4,8,5,7,8,8,10,10,4,1,1,2,9,Enough,No,3,"I feel very disorganized. It’s a cool opportunity to be a part of and I’m glad Glad I got to experience it, but it felt like communication from the facilitators was seriously lacking. I had very little understanding of what was expected of me and what was going on.","Their way of life, what their everyday experience is",Yes
R_6TyCwfLJyjcqjMl,USA,Team 11: RescuEye ,,No,Python,Perfectly,Absolutely pleased. When will the next one be?,7,5,9,10,10,7,10,10,7,10,9,2,3,5,5,Super helpful,Yes,8,,,Yes
R_6HpfRKrWZtaeWwa,USA,Team 11: RescuEye ,,No,Python,Good,Absolutely pleased. When will the next one be?,10,10,10,10,10,9,7,10,7,9,9,3,7,10,10,Super helpful,Yes,6,"This was my first experience in an international project like this. Even though we had some of our team members not showing up, I feel grateful about getting to know the others who showed up, brainstormed ideas and worked on this with resilience. The event overall was very well- organised. The organisers in the group and the consultation with mentors really helped to boost our confidence and get a well-rounded solution. Thank you for all of their valuable time!","Even though I am well aware of the world news, I got to know about the real impact of power cut at nighttime, the constant anxiety they are living with. I feel more empathetic towards my fellow people in Ukraine.",Yes
R_7AJ7mfQ7Kq4JS0x,USA,Team 11: RescuEye ,3,Yes,Python,Not bad,Absolutely pleased. When will the next one be?,8,8,9,10,7,10,10,10,7,5,5,5,5,5,5,Enough,Yes,9,,,Yes
R_848J2QNLk4vJiJe,Ukraine,Team 3: SafeSpace Vision ,,No,Python,Perfectly,Satisfied,10,8,10,6,10,10,2,7,10,4,8,4,10,7,10,Useful,Yes,7,,,Yes
R_1V2zzVzNKFQ6rAb,USA,Team 3: SafeSpace Vision ,,No,Python,Good,Absolutely pleased. When will the next one be?,9,9,10,8,7,8,5,7,9,6,7,1,6,6,8,Useful,Yes,4,"It was really good events, I feel the problem statement is ambiguous and just to figure out what actually we need to do, we took 2-3 days! Also, all the teammates initially assigned didn’t participate in the event, so we have 3 participants additionally and most of them are CS people rather than actual domain, it could have been nice if we have civil department people. ","1. Working with different culture people, understanding the differences and working on one project which helps mankind.
2. The most important thing is I learned some domain knowledge and understood the problem clearly and talked about multiple solutions possible and not possible.",Yes
R_63ZV3fUBjni97rn,USA,Team 4: ClearSight Disaster Suite,,No,C++,Not bad,Absolutely pleased. When will the next one be?,10,9,10,10,10,7,10,7,10,10,6,1,1,1,8,Useful,Yes,9,Great! Though some difficulties with participation and clarity on deliverables ,I learned the Ukraine version of FEMA and how to pronounce Ukrainian names,Yes
R_7hnjDjGiG7CBwjJ,USA,Team 4: ClearSight Disaster Suite,,No,,Not bad,Absolutely pleased. When will the next one be?,10,10,10,10,10,10,5,5,8,8,4,2,2,5,10,Useful,Yes,,Just needs better planning communication. A lot of the zoom links and one drive locations were shared very last minute and caused some unnecessary stress,AI machine learning and how prevalent some of the knowledge is in our Ukrainian partners as opposed to the US students. Ukrainian students seem much more advanced in that area and US students were great at driving the structure of the solution.,Yes
R_1o8dR5H8H2ieJi0,USA,Team 4: ClearSight Disaster Suite,1,No,Python,Perfectly,Satisfied,10,10,10,10,10,10,10,10,9,10,10,1,10,5,10,Super helpful,Yes,10,I learned a lot during this event. ,They are talented and patient. ,Yes
R_665NnCKvuFv8paO,USA,Team 4: ClearSight Disaster Suite,0,No,Java,Good,Absolutely pleased. When will the next one be?,9,5,7,10,4,8,8,10,4,9,,,,,,,,,,,Yes
R_2ctC8fFoIhbojHb,Ukraine,Team 4: ClearSight Disaster Suite,0,No,Python,Good,Absolutely pleased. When will the next one be?,8,7,10,10,8,8,6,10,10,10,9,1,4,10,6,Useful,Yes,10,"Pretty good, learned a lot and met new people, what else can one want from such an event","They are in the military, really cool. And really cool guys in general",Yes
